,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Spain,233,617,767,906,583,1185,831,321,446,656,688,630,507,604,81,327,1089,1091,1942,840,699,109,207,299,853,355,424,211,86,361,320,144,271,249,305,358,312,343,347,228,272,166,219,155,108,152,104,82,149,35,71,135,173,22645
SPLA (Sudan)*,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Sri Lanka,,33,47,,,1,0,17,7,,18,,,,48,42,27,110,19,5,19,167,22,35,74,64,207,48,83,62,293,158,42,34,48,57,96,91,79,21,4,21,,20,5,,,45,100,59,,54,7,2391
Sudan,598,87,69,23,3,,,26,208,4,3,209,90,25,106,65,9,122,77,16,4,46,6,,,3,27,63,,36,,106,49,204,293,132,69,33,128,88,182,173,94,130,61,123,109,68,33,18,,,,4018
Suriname,,,,,,0,5,10,,,,0,2,,8,,5,2,,,,,,,,,,,,23,2,,,,,,,,,,,,0,7,,3,,,,,,,,67
Sweden,122,97,170,231,256,292,214,100,198,249,247,454,171,179,93,84,144,142,126,105,94,55,60,46,307,106,98,196,294,224,206,165,74,66,47,78,120,51,51,17,11,191,207,54,44,26,70,32,7,7,3,122,318,7119
Switzerland,141,147,185,115,63,136,142,4,217,226,272,289,175,442,404,341,108,151,179,318,438,474,386,102,118,93,187,379,435,506,22,67,62,117,203,168,83,108,17,39,48,32,10,6,5,12,73,34,10,10,10,10,,8320
Syria,859,735,1502,3276,3420,1411,527,931,871,2045,1859,1338,1973,2233,1809,1575,1262,1409,1312,663,739,320,240,171,19,35,35,35,55,58,64,28,45,69,25,35,100,20,294,205,413,493,516,506,21,22,8,37,199,36,84,11,,35946
Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,2,,1,,,,5
Taiwan,585,351,245,329,372,344,484,802,789,552,525,795,808,735,441,655,968,598,658,364,479,663,479,1157,858,1318,1433,4746,3939,1736,592,342,291,115,319,695,503,12,11,36,71,169,407,578,1060,605,97,493,99,64,93,128,140,35128
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,34,,,,3,,,7,19,4,5,,,3,121
Tanzania,11,60,47,118,182,48,,44,63,260,53,121,9,,,,1,,,5,,,18,,4,,4,,,,2,,1,51,,10,12,1,,25,,78,115,118,14,20,20,2,16,,8,52,,1591
Thailand,250,243,147,338,113,87,148,104,191,306,322,350,82,254,351,188,162,534,618,285,235,580,426,183,610,530,734,935,76,172,85,116,152,131,120,115,99,8,16,63,60,249,278,378,105,180,342,326,634,278,145,146,113,13690
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,,,,,,,,,,,,32
Togo,2,1,,4,,15,50,1,9,9,28,19,4,2,,,16,0,0,,,9,8,,3,3,,9,,,,,,,,,,,,,1,,,,15,,,,,6,5,10,42,270
Tonga,,,,,,,,,,,,,,,,,0,,,6,6,6,,,,,0,,,,,,,,,,,,,,,,,,,5,,,,7,7,,,38
Trinidad and Tobago,,,11,2,,,,,,,22,6,,,,,,0,,,,,,,,,,,,,11,0,2,,,,,6,,,24,12,12,,,46,30,,,,,32,,215
Tunisia,51,0,4,26,14,15,10,73,14,122,103,56,60,103,116,319,,56,17,48,4,20,32,,35,56,68,39,18,12,,,44,1,,168,2,,3,,7,7,,40,49,7,39,97,181,15,15,23,8,2195
Turkiye,396,941,1095,789,1279,641,360,295,984,917,487,731,483,477,549,678,472,1429,1628,1017,1241,1279,1879,2329,1891,1564,1484,1512,2626,1733,1180,508,872,331,257,1094,529,690,638,731,467,760,1481,769,1527,445,328,429,488,756,96,272,184,48016
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,27,236,108,68,70,169,433,97,,,,348,,1637
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,13
UAE,69,24,26,88,100,153,283,304,217,18,204,429,160,164,312,144,137,199,42,666,564,238,201,578,565,421,480,686,753,436,245,183,221,681,1145,2070,1923,819,728,602,643,1236,1137,2281,733,1179,941,832,1136,810,564,508,681,29961
Uganda,3,3,20,17,46,123,34,5,,,,,14,,,10,,31,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,0,14,26,37,469,216,20,2,6,1,22,10,36,67,7,48,1520
UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,70,23,18,39,2644,2826
Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,24
UNITA (Angola)*,,,,,,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
United Kingdom,60,171,217,234,319,337,251,256,179,219,544,800,756,286,633,355,273,207,281,209,120,940,1134,783,411,496,568,496,752,132,937,1282,720,769,215,31,375,868,570,399,502,389,595,509,217,423,282,1002,518,342,652,878,799,25695
United Nations**,,,,,,,,,,,,,,,,,,,,,,3,,14,49,11,,,1,7,30,,,,2,1,2,1,0,,,,,5,23,3,9,,,,,,,161
United States,38,582,773,658,586,388,499,384,369,253,380,531,248,463,382,654,420,1993,1788,1783,363,491,484,912,935,741,555,567,249,222,302,463,471,567,537,501,634,831,968,977,1085,1002,1210,787,591,520,458,527,380,890,801,868,837,34897
United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,3
unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0
unknown recipient(s),18,10,10,5,5,,,,,,30,85,86,87,87,87,87,87,87,41,,11,11,19,5,9,3,,4,,,2,,0,0,,,,12,,8,6,,29,31,13,32,17,31,48,29,7,6,1141
Uruguay,10,16,24,6,5,3,53,2,8,9,21,100,15,17,,12,,,16,41,41,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,8,,,10,,25,3,5,823
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,30,,,,17,101,56,8,116,78,46,47,,516
Vanuatu,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,13
Venezuela,15,130,165,395,252,230,170,213,59,14,367,917,701,242,231,517,92,73,105,120,190,320,73,38,1,5,35,37,8,85,106,106,44,15,9,21,377,771,737,358,208,596,687,993,181,125,95,,14,,79,,,11319
Viet Cong (South Vietnam)*,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Viet Nam,1199,1182,1315,1283,851,485,42,42,227,1249,1017,1080,532,916,557,28,78,50,65,128,116,,,,,281,213,110,220,164,7,95,58,22,294,221,42,8,182,60,150,1010,780,360,1209,851,907,781,603,160,32,244,95,21595
Western Sahara,,,,,,,,,,0,,25,,7,,,39,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,77
Yemen,,,,,,,,,,,,,,,,,,,,,78,113,,,4,171,,,1,52,158,85,592,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,,2451
Yugoslavia,548,477,321,167,160,564,526,594,406,762,495,440,631,599,293,354,343,328,712,330,310,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9501
Zambia,4,165,29,19,9,48,109,40,42,4,136,252,42,,18,,,,,,,,,,,,6,,,,43,,2,,,0,28,4,2,,,1,61,,,14,44,46,,43,3,19,2,1232
ZAPU (Zimbabwe)*,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Zimbabwe,,5,21,0,2,42,19,4,13,,,15,81,34,26,28,212,29,2,,2,42,60,0,,,,,1,25,3,10,,16,14,25,25,,,,,,,,,,,,,,,,,755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,25388,32591,34274,35999,36812,37324,35471,39953,42469,38033,41698,45400,45656,44049,41717,38184,39095,39435,36671,35280,30424,28235,24073,25727,22916,22855,23705,28815,27712,25097,19303,18689,17681,18963,21181,21294,24377,26522,24123,24365,25724,29901,27809,27247,27195,28484,31213,31438,27807,27607,24000,26792,31983,1608755
